species_name,common_name,flashcard?,name?
Eurema nicippe,Sleepy Orange,,
Addaea subtessellata,,,
Ocybadistes walkeri,Yellow-banded Dart,,
Plutella xylostella,Diamond Backed Moth,,
Hypagyrtis unipunctata,One-Spotted Variant,,
Antheraea polyphemus,Polyphemus Moth,,
Catoria camelaria,,,
Habrosyne scripta,Lettered Habrosyne Moth,,
Lon zabulon,Zabulon Skipper,,
Euphyes vestris,Dun Skipper,,
Anavitrinella pampinaria,Common Gray,,
Malacosoma americana,Eastern Tent Caterpillar,,
Traminda aventiaria,Cross-line Wave Moth,,
Nudaria mollis,,,
Hydrelia inornata,Unadorned Carpet Moth,,
Polygonia c-album,Comma,,
Ochlodes sylvanus,Large Skipper,,
Melanolophia imitata,Western Carpet,,
Orthosia hibisci,Green Fruitworm,,
Sauris malaca,,,
Chlorochlamys chloroleucaria,Blackberry Looper,,
Euphaedra eleus,Eleus Orange Forester,,
Chlosyne lacinia,Bordered Patch,,
Junonia cymodoce,Blue Leaf Pansy,,
Libytheana carinenta,American Snout,,
Udea rubigalis,Celery Leafer Moth,,
Estigmene acrea,Saltmarsh Caterpillar,,
Iridopsis defectaria,Brown-shaded Gray,,
Papilio machaon,Artemisia Swallowtail,,
Thymelicus lineola,Essex Skipper,,
Pleuroprucha insulsaria,Common Tan Wave,,
Pseudothyatira cymatophoroides,Tufted Thyatirid Moth,,
Ascia monuste,Great Southern White,,
Nematocampa resistaria,Horned Spanworm Moth,,
Eurema lisa,Little Yellow,,
Aglais io,Peacock,,
Coesyra hemiphragma,,,
Lophocampa maculata,Spotted Tussock Moth,,
Asterocampa celtis,Hackberry Emperor,,
Cisseps fulvicollis,Yellow-collared scape moth,,
Amphithera heteroleuca,,,
Lymantria dispar,"Asian Gypsy Moth, Gypsy Moth",,
Scopula limboundata,Large Lace Border,,
Xestia c-nigrum,Cutworm Moth,,
Pieris napi,Green-veined White,,
Protoboarmia porcelaria,Porcelain Gray,,
Ctenucha virginica,Virginia Ctenucha Moth,,
Epirrhoe alternata,Common Carpet,,
Ectropis bispinaria,,,
Casbia rectaria,Pomaderris Moth,,
Ecliptopera silaceata,Small Phoenix,,
Eurema hecabe,Common Grass Yellow,,
Acrocercops obscurella,,,
Spilosoma virginica,Virginia Tiger Moth,,
Horisme intestinata,Brown Bark Carpet,,
Pieris brassicae,Cabbage White,,
Macaria pustularia,Lesser Maple Spanworm Moth,,
Automeris io,Io Moth,,
Spoladea recurvalis,Beet Webworm,,
Lophocampa caryae,Hickory Tussock Moth,,
Gonepteryx rhamni,Brimstone,,
Coenonympha pamphilus,Small Heath,,
Cladara limitaria,Mottled Gray Carpet,,
Lasiommata megera,The Wall,,
Malacosoma disstria,Forest Tent Caterpillar,,
Adoneta spinuloides,Purple-crested Slug Moth,,
Neoalcis californiaria,Brown-lined Looper,,
Hypena baltimoralis,Baltimore Snout,,
Lithacodes fasciola,Yellow-shouldered Slug Moth,,
Barea nymphica,,,
Phrissogonus laticostata,Apple Looper,,
Actias luna,Luna Moth,,
Erynnis horatius,Horace's Duskywing,,
Darapsa myron,Hog Sphinx,,
Spodoptera ornithogalli,Yellowstriped Armyworm,,
Asterocampa clyton,Tawny Emperor,,
Pseudaletia unipuncta,Armyworm Moth,,
Junonia villida,Meadow Argus,,
Emmelina monodactyla,Common Plume,,
Plemyria georgii,George's Carpet Moth,,
Ancyloxypha numitor,Common Least Skipper,,
Argynnis cybele,Great Spangled Fritillary,yes,
Ascalapha odorata,Black Witch,,
Panoquina ocola,Ocola Skipper,,
Acharia stimulea,Saddleback Catterpillar Moth,,
Lomographa glomeraria,Gray Spring Moth,,
Echinargus isola,Reakirt's Blue,,
Vanessa itea,Yellow Admiral,,
Palpita magniferalis,Splendid Palpita Moth,,
Natada nasoni,Nason's Slug Moth,,
Polites peckius,Peck's Skipper,,
Calluga costalis,,,
Harrisina americana,Grapeleaf Skeletonizer Moth,,
Platynota exasperatana,Exasperating Platynota Moth,,
Megisto cymela,Little Wood-Satyr,,
Mniotype tenera,,,
Polygonia comma,Eastern Comma,,
Epimecis hortaria,Tulip-Tree Beauty,,
Argynnis paphia,Silver-washed Fritillary,,
Scopula rubraria,Plantain Moth,,
Tisiphone abeona,Swordgrass Brown,,
Minoa euthecta,,,
Nathalis iole,Dainty Sulphur,,
Phoebis agarithe,Large Orange Sulphur,,
Euchaetes egle,Milkweed Tussock Moth,,
Acroceuthes metaxanthana,,,
Vanicela xenadelpha,,,
Chloroclystis mniochroa,,,
Autographa gamma,Silver Y,,
Leptotes marina,Marine Blue,,
Fishia illocata,Wandering Brocade Moth,,
Tympanota perophora,,,
Phragmatobia fuliginosa,Ruby Tiger,,
Hypercompe scribonia,Giant Leopard Moth,,
Costaconvexa centrostrigaria,Bent-line Carpet,,
Galgula partita,Wedgeling,,
Papilio polytes,Common Mormon,,
Prochoerodes lineola,Large Maple Spanworm,,
Cutina distincta,Distinguished Cypress Owlet Moth,,
Pontia protodice,Checkered White,,
Scoparia biplagialis,Double-striped Scoparia Moth,,
Elophila obliteralis,Waterlily Leafcutter Moth,,
Hypoprepia fucosa,Painted Lichen Moth,,
Euplexia benesimilis,American Angle Shades,,
Acronicta americana,American Dagger Moth,,
Oxycanus beltista,,,
Lon hobomok,Hobomok Skipper,,
oreta rosea,Rose Hooktip,,
Caripeta divisata,Gray Spruce Looper,,
Anticarsia gemmatalis,Cutworm Moth,,
Cercyonis pegala,Common Wood-Nymph,,
Celastrina neglecta,Summer Azure,,
Melanargia galathea,Marbled White,,
Heterogenea shurtleffi,Red-eyed Button Slug Moth,,
Brephidium exilis,Western Pygmy-Blue,,
Pyronia tithonus,Gatekeeper,,
Argyrotaenia velutinana,Red-banded Leafroller Moth,,
Gymnoscelis rufifasciata,Cankerworm,,
Manduca sexta,Carolina Sphinx,,
Phosphila miselioides,Spotted Phosphila Moth,,
Celastrina argiolus,Holly Blue,,
Anicla infecta,Green Cutworm,,
Eutrapela clemataria,Curved-Toothed Geometer,,
Scopula optivata,Varied Wave Moth,,
Cecropterus dorantes,Lilac-banded longtail,,
Pseudeustrotia carneola,Pink-barred Lithacodia Moth,,
Idia aemula,Common Idia Moth,,
Clepsis peritana,Garden Tortrix,,
Colias philodice,Clouded Sulphur,,
Aphantopus hyperantus,Ringlet,,
Heraclides cresphontes,Eastern Giant Swallowtail,,
Hyppa contrasta,Summer Hyppa Moth,,
Pholodes sinistraria,Sinister Moth,,
Anartia fatima,Banded Peacock,,
Glaucopsyche lygdamus,Silvery Blue,,
Phyciodes cocyta,Northern Crescent,,
Parallelia bistriaris,Maple Looper Moth,,
Lampides boeticus,Bean butterfly,,
Crambus agitatellus,Double-banded Grass-veneer,,
Hofmannophila pseudospretella,Brown House Moth,,
Celastrina echo,Echo Azure,,
Hemaris diffinis,Bumblebee Moth,,
Peribatodes rhomboidaria,Willow Beauty,,
Heteronympha penelope,Shouldered Brown,,
Junonia grisea,Gray Buckeye,,
Rivula propinqualis,Spotted Grass Moth,,
Cleora sabulata,,,
Heraclides rumiko,Wester Gian Swallowtail,,
Lethe anthedon,Northern Pearly-eye,,
Phocides batabano,Mangrove Skipper,,
Phocides lilea,Guava Skipper,,
Phocides polybius,Southern Guava Skipper,,
Phocides urania,Rainbow Skipper,,
Perisama appelii,,,
Parides sesostris,Emerald-patched Cattleheart,,
Mesosemia mevania,Mevania Eyed-Metalmark,,
Argyrogrammana flaucopis,,,
Epiphile epimenes,,,
Caria castalia,Orange-edged Greenmark,,
Athyma perius,Common Sergeant,,
Symbrenthia niphanda,Bluetail Jester,,
Cirrochroa thais,Tamil Yeoman,,
Eunica tatila,Florida Purplewing,,
Doxocopa laurentia,Turquoise Emperor,,
Myscelia cyaniris,Whitened Bluewing,,
Pararge aegeria,Speckled Wood,,
Evenus regalis,Regal Hairstreak,,
Bebearia cocalia,Common Palm Forester,,
Bebearia orientis,Eastern Palm Forester,,
Epiphile adrasta,Common Banner,,
Epiphile hubneri,,,
Epiphile orea,,,
Epiphile epimenes,,,
Icaricia lupini,Lupine Blue,,
Parnassius smintheus,Rocky Mountain Parnassian,,
Papilio zelicaon,Anise Swallowtail,,
Papilio bairdii,Baird's Swallowtail,,
Vanessa gonerilla,New Zealand Red Admiral,,
Eroessa chiliensis,,,
Anthocharis cardamines,Orange-Tip,,
Papilio eurymedon,Pale Swallowtail,,
Papilio multicaudata,Two-tailed Swallowtail,,
Papilio rutulus,Western Tiger Swallowtail,,
Epargyreus clarus,Silver-spotted Skipper,,
Vanessa terpsichore,Chilean Lady,,
Erynnis funeralis,Funeral Duskywing,,
Erynnis icelus,Dreamy Duskywing,,
Erynnis pacuvius,Pacuvius Duskywing,,
Limenitis weidemeyerii,Weidemeyer's Admiral,,
Erebia epipsodea,Common Alpine,,
Anthocharis julia,Julia Orangetip,,
Cupido comyntas ,Eastern Tailed-blue,yes,
Greta oto,Glasswing Butterfly,yes,
